import time: self [us] | cumulative | imported package
import time:      4717 |       4717 |   torch._compile
import time:      7198 |       7198 |   torch._VF
import time:     11083 |      11083 |         torch.nn.parameter
import time:     10944 |      10944 |             torch._prims_common
import time:     20214 |      20214 |                 torch.utils.backcompat
import time:      8088 |       8088 |                 torch.utils.collect_env
import time:       207 |        207 |                         multiprocessing.process
import time:       458 |        458 |                         multiprocessing.reduction
import time:      1302 |       1966 |                       multiprocessing.context
import time:       757 |       2723 |                     multiprocessing
import time:       559 |        559 |                       _queue
import time:      1060 |       1619 |                     queue
import time:       467 |        467 |                         cmd
import time:       883 |        883 |                         bdb
import time:       698 |        698 |                           codeop
import time:      1410 |       2107 |                         code
import time:      1089 |       1089 |                         pprint
import time:      2514 |       7058 |                       pdb
import time:      7847 |       7847 |                         torch.utils._typing_utils
import time:      7596 |       7596 |                             torch.distributed.logging_handlers
import time:      9149 |      16745 |                           torch.distributed.c10d_logger
import time:     10138 |      10138 |                           torch.distributed.constants
import time:      7718 |       7718 |                           torch.distributed.rendezvous
import time:     12207 |      46806 |                         torch.distributed.distributed_c10d
import time:     13768 |      68420 |                       torch.distributed.device_mesh
import time:      8910 |       8910 |                       torch.distributed.remote_device
import time:     48160 |     132548 |                     torch.distributed
import time:     13331 |      13331 |                                     torch.utils.data.datapipes._hook_iterator
import time:     14380 |      27710 |                                   torch.utils.data.datapipes._typing
import time:      7554 |       7554 |                                     torch.utils._import_utils
import time:     23497 |      23497 |                                       torch.utils.data.datapipes.utils
import time:     26118 |      49614 |                                     torch.utils.data.datapipes.utils.common
import time:     11635 |      11635 |                                     torch.utils.data.dataset
import time:     15692 |      84494 |                                   torch.utils.data.datapipes.datapipe
import time:     13913 |     126115 |                                 torch.utils.data.datapipes._decorator
import time:     15805 |      15805 |                                   torch.utils.data.datapipes.dataframe.dataframe_wrapper
import time:     17257 |      33062 |                                 torch.utils.data.datapipes.dataframe.structures
import time:     27087 |     186263 |                               torch.utils.data.datapipes.dataframe.dataframes
import time:     14620 |      14620 |                               torch.utils.data.datapipes.dataframe.datapipes
import time:     32121 |     233003 |                             torch.utils.data.datapipes.dataframe
import time:     22188 |      22188 |                                     torch.utils.data._utils.collate
import time:     13045 |      13045 |                                     torch.utils.data._utils.fetch
import time:     10758 |      10758 |                                     torch.utils.data._utils.pin_memory
import time:     12666 |      12666 |                                     torch.utils.data._utils.signal_handling
import time:     14861 |      14861 |                                     torch.utils.data._utils.worker
import time:     21095 |      94610 |                                   torch.utils.data._utils
import time:       211 |      94820 |                                 torch.utils.data._utils.collate
import time:     29201 |     124021 |                               torch.utils.data.datapipes.iter.callable
import time:      9732 |       9732 |                                 torch.utils.data.sampler
import time:     16028 |      25759 |                               torch.utils.data.datapipes.iter.combinatorics
import time:     15364 |      15364 |                               torch.utils.data.datapipes.iter.combining
import time:     16665 |      16665 |                                 torch.utils.data.datapipes.iter.utils
import time:     17582 |      34246 |                               torch.utils.data.datapipes.iter.filelister
import time:     17065 |      17065 |                               torch.utils.data.datapipes.iter.fileopener
import time:     24762 |      24762 |                                 torch.utils.data.datapipes.iter.sharding
import time:     19051 |      43813 |                               torch.utils.data.datapipes.iter.grouping
import time:     14671 |      14671 |                                 torch.utils.data.datapipes.utils.decoder
import time:     17897 |      32567 |                               torch.utils.data.datapipes.iter.routeddecoder
import time:     16389 |      16389 |                               torch.utils.data.datapipes.iter.selecting
import time:     15153 |      15153 |                               torch.utils.data.datapipes.iter.streamreader
import time:     24317 |     348690 |                             torch.utils.data.datapipes.iter
import time:     24177 |      24177 |                               torch.utils.data.datapipes.map.callable
import time:     16905 |      16905 |                               torch.utils.data.datapipes.map.combinatorics
import time:     17351 |      17351 |                               torch.utils.data.datapipes.map.combining
import time:     15016 |      15016 |                               torch.utils.data.datapipes.map.grouping
import time:     15600 |      15600 |                               torch.utils.data.datapipes.map.utils
import time:     26352 |     115399 |                             torch.utils.data.datapipes.map
import time:     19054 |     716144 |                           torch.utils.data.datapipes
import time:       158 |     716302 |                         torch.utils.data.datapipes.iter
import time:       191 |     716492 |                       torch.utils.data.datapipes.iter.sharding
import time:     12508 |      12508 |                       torch.utils.data.graph
import time:     10658 |     739658 |                     torch.utils.data.graph_settings
import time:     17128 |     893673 |                   torch.utils.data.dataloader
import time:     11757 |      11757 |                   torch.utils.data.distributed
import time:     15403 |     920831 |                 torch.utils.data
import time:      7889 |       7889 |                 torch.utils.deterministic
import time:      8736 |       8736 |                 torch.utils.hooks
import time:      7824 |       7824 |                 torch.utils.backend_registration
import time:      8001 |       8001 |                 torch.utils.cpp_backtrace
import time:      8634 |       8634 |                 torch.utils.throughput_benchmark
import time:     14390 |    1004603 |               torch.utils
import time:     11285 |      11285 |               torchgen
import time:      7637 |       7637 |                   torchgen.code_template
import time:      8840 |      16476 |                 torchgen.utils
import time:     26036 |      42512 |               torchgen.model
import time:      7698 |    1066097 |             torch.utils._python_dispatch
import time:     20373 |    1097413 |           torch.nn.modules.module
import time:     15588 |      15588 |                   torch.distributed.autograd
import time:      9331 |       9331 |                     torch.futures
import time:     10493 |      10493 |                     torch.distributed.rpc._utils
import time:      9647 |       9647 |                     torch.distributed.rpc.constants
import time:     12307 |      12307 |                     torch.distributed.rpc.internal
import time:     16890 |      58666 |                   torch.distributed.rpc.api
import time:     11722 |      11722 |                   torch.distributed.rpc.backend_registry
import time:      8486 |       8486 |                   torch.distributed.rpc.functions
import time:     10918 |      10918 |                   torch.distributed.rpc.options
import time:     12141 |      12141 |                           torch.utils._pytree
import time:      5590 |      17730 |                         torch._vmap_internals
import time:      7949 |       7949 |                             torch.utils._contextlib
import time:      7626 |      15575 |                           torch.autograd.grad_mode
import time:     12231 |      27805 |                         torch.autograd.forward_ad
import time:      8039 |       8039 |                         torch.autograd.functional
import time:      8562 |       8562 |                           torch.autograd.variable
import time:     10445 |      19007 |                         torch.autograd.graph
import time:      7901 |       7901 |                         torch.autograd.anomaly_mode
import time:     10968 |      10968 |                           torch._functorch
import time:      7961 |       7961 |                                 torch.utils._exposed_in
import time:      7769 |      15729 |                               torch._functorch.utils
import time:     19388 |      19388 |                               torch._functorch.vmap
import time:     10353 |      45469 |                             torch._functorch.apis
import time:      7189 |       7189 |                               torch._functorch.pyfunctorch
import time:      6596 |      13784 |                             torch._ops
import time:     12609 |      71861 |                           torch._functorch.autograd_function
import time:     10384 |      93212 |                         torch.autograd.function
import time:     12573 |      12573 |                             torch.testing._utils
import time:        85 |         85 |                               cmath
import time:     10854 |      10939 |                             torch.testing._comparison
import time:      8223 |       8223 |                             torch.testing._creation
import time:     11450 |      43184 |                           torch.testing
import time:      9661 |      52844 |                         torch.autograd.gradcheck
import time:      9385 |       9385 |                           torch.autograd.profiler_util
import time:      8346 |      17730 |                         torch.autograd.profiler
import time:     14029 |     258293 |                       torch.autograd
import time:     11679 |     269971 |                     torch.autograd.profiler_legacy
import time:      9526 |     279497 |                   torch.distributed.rpc.server_process_global_profiler
import time:     20666 |     405540 |                 torch.distributed.rpc
import time:      1582 |       1582 |                             pickletools
import time:      7053 |       7053 |                             torch.package._digraph
import time:      8272 |       8272 |                             torch.package._importlib
import time:      7852 |       7852 |                             torch.package._mangling
import time:      9389 |       9389 |                               torch.package.importer
import time:      9225 |      18613 |                             torch.package._package_pickler
import time:      7800 |       7800 |                             torch.package._stdlib
import time:      7298 |       7298 |                             torch.package.find_file_dependencies
import time:      7576 |       7576 |                             torch.package.glob_group
import time:     11536 |      77579 |                           torch.package.package_exporter
import time:     16014 |      93592 |                         torch.package.analyze.find_first_use_of_broken_modules
import time:     10514 |      10514 |                         torch.package.analyze.trace_dependencies
import time:     23393 |     127497 |                       torch.package.analyze
import time:     11796 |     139293 |                     torch.package.analyze.is_from_package
import time:      8907 |       8907 |                     torch.package.file_structure_representation
import time:      8539 |       8539 |                       torch.package._directory_reader
import time:      9052 |       9052 |                       torch.package._package_unpickler
import time:      8910 |      26501 |                     torch.package.package_importer
import time:     11405 |     186104 |                   torch.package
import time:       221 |     186324 |                 torch.package._mangling
import time:      8610 |       8610 |                 torch._awaits
import time:      7944 |     608417 |               torch._jit_internal
import time:     10262 |      10262 |               torch._torch_docs
import time:      5933 |       5933 |               torch.nn._reduction
import time:     11366 |      11366 |                 torch.nn.modules.utils
import time:      8442 |      19808 |               torch.nn.grad
import time:     86227 |     730645 |             torch.nn.functional
import time:      7724 |       7724 |             torch.nn.init
import time:     12385 |      12385 |             torch.nn.modules.lazy
import time:     10777 |     761530 |           torch.nn.modules.linear
import time:     10561 |      10561 |           torch.nn.modules.activation
import time:     11809 |      11809 |             torch.nn.modules.container
import time:     10457 |      22266 |           torch.nn.modules.adaptive
import time:     10344 |      10344 |             torch.nn.modules._functions
import time:     12940 |      23284 |           torch.nn.modules.batchnorm
import time:     10056 |      10056 |           torch.nn.modules.channelshuffle
import time:      7678 |       7678 |             torch.nn.common_types
import time:     11568 |      19245 |           torch.nn.modules.conv
import time:     11223 |      11223 |           torch.nn.modules.distance
import time:     11839 |      11839 |           torch.nn.modules.dropout
import time:     10639 |      10639 |           torch.nn.modules.flatten
import time:     12026 |      12026 |           torch.nn.modules.fold
import time:     12382 |      12382 |           torch.nn.modules.instancenorm
import time:     11422 |      11422 |           torch.nn.modules.loss
import time:      9925 |       9925 |           torch.nn.modules.normalization
import time:     10888 |      10888 |           torch.nn.modules.padding
import time:      9548 |       9548 |           torch.nn.modules.pixelshuffle
import time:     13118 |      13118 |           torch.nn.modules.pooling
